,year,genre,count
0,1998,Action,1
1,1999,Action,2
2,2000,Action,2
3,2001,Action,4
4,2001,Indie,1
5,2001,RPG,2
6,2001,Strategy,1
7,2002,Action,1
8,2002,Adventure,1
9,2003,Action,2
10,2003,Casual,1
11,2003,Indie,2
12,2003,RPG,1
13,2003,Strategy,1
14,2004,Action,5
15,2005,Indie,3
16,2005,RPG,3
17,2005,Strategy,2
18,2006,Action,10
19,2006,Casual,14
20,2006,Indie,7
21,2006,RPG,3
22,2006,Racing,2
23,2006,Simulation,1
24,2006,Strategy,21
25,2007,Action,34
26,2007,Adventure,8
27,2007,Casual,5
28,2007,Free to Play,1
29,2007,Indie,3
30,2007,RPG,6
31,2007,Racing,3
32,2007,Simulation,1
33,2007,Strategy,15
34,2008,Action,26
35,2008,Adventure,12
36,2008,Casual,30
37,2008,Free to Play,2
38,2008,Indie,23
39,2008,RPG,13
40,2008,Racing,9
41,2008,Simulation,13
42,2008,Sports,2
43,2008,Strategy,27
44,2009,Action,77
45,2009,Adventure,47
46,2009,Casual,42
47,2009,Free to Play,2
48,2009,Indie,59
49,2009,RPG,33
50,2009,Racing,5
51,2009,Simulation,27
52,2009,Sports,7
53,2009,Strategy,63
54,2010,Action,67
55,2010,Adventure,35
56,2010,Casual,45
57,2010,Free to Play,2
58,2010,Indie,62
59,2010,Massively Multiplayer,1
60,2010,RPG,34
61,2010,Racing,8
62,2010,Simulation,25
63,2010,Sports,3
64,2010,Strategy,52
65,2011,Action,92
66,2011,Adventure,44
67,2011,Casual,39
68,2011,Free to Play,9
69,2011,Indie,93
70,2011,Massively Multiplayer,8
71,2011,RPG,40
72,2011,Racing,9
73,2011,Simulation,25
74,2011,Sports,5
75,2011,Strategy,75
76,2012,Action,138
77,2012,Adventure,90
78,2012,Animation & Modeling,1
79,2012,Casual,45
80,2012,Design & Illustration,1
81,2012,Early Access,1
82,2012,Free to Play,12
83,2012,Indie,159
84,2012,Massively Multiplayer,7
85,2012,RPG,52
86,2012,Racing,9
87,2012,Simulation,32
88,2012,Sports,5
89,2012,Strategy,66
90,2012,Video Production,1
91,2012,Web Publishing,1
92,2013,Action,193
93,2013,Adventure,149
94,2013,Animation & Modeling,2
95,2013,Casual,74
96,2013,Design & Illustration,1
97,2013,Early Access,6
98,2013,Education,2
99,2013,Free to Play,21
100,2013,Game Development,1
101,2013,Indie,237
102,2013,Massively Multiplayer,11
103,2013,RPG,77
104,2013,Racing,16
105,2013,Simulation,65
106,2013,Software Training,1
107,2013,Sports,11
108,2013,Strategy,95
109,2013,Utilities,2
110,2013,Web Publishing,2
111,2014,Action,544
112,2014,Adventure,506
113,2014,Animation & Modeling,5
114,2014,Audio Production,2
115,2014,Casual,367
116,2014,Design & Illustration,8
117,2014,Early Access,44
118,2014,Education,3
119,2014,Free to Play,54
120,2014,Indie,794
121,2014,Massively Multiplayer,25
122,2014,Photo Editing,2
123,2014,RPG,257
124,2014,Racing,43
125,2014,Simulation,214
126,2014,Software Training,3
127,2014,Sports,43
128,2014,Strategy,303
129,2014,Utilities,11
130,2014,Video Production,1
131,2014,Web Publishing,2
132,2015,Action,950
133,2015,Adventure,885
134,2015,Animation & Modeling,9
135,2015,Audio Production,3
136,2015,Casual,679
137,2015,Design & Illustration,12
138,2015,Early Access,117
139,2015,Education,7
140,2015,Free to Play,126
141,2015,Game Development,5
142,2015,Indie,1645
143,2015,Massively Multiplayer,45
144,2015,Photo Editing,5
145,2015,RPG,420
146,2015,Racing,79
147,2015,Simulation,389
148,2015,Software Training,6
149,2015,Sports,80
150,2015,Strategy,476
151,2015,Utilities,17
152,2015,Video Production,7
153,2015,Web Publishing,5
154,2016,Accounting,2
155,2016,Action,1501
156,2016,Adventure,1284
157,2016,Animation & Modeling,9
158,2016,Audio Production,7
159,2016,Casual,1294
160,2016,Design & Illustration,11
161,2016,Early Access,260
162,2016,Education,8
163,2016,Free to Play,253
164,2016,Game Development,4
165,2016,Gore,2
166,2016,Indie,2506
167,2016,Massively Multiplayer,92
168,2016,Photo Editing,1
169,2016,RPG,500
170,2016,Racing,123
171,2016,Simulation,671
172,2016,Software Training,5
173,2016,Sports,187
174,2016,Strategy,659
175,2016,Utilities,22
176,2016,Video Production,8
177,2016,Violent,2
178,2016,Web Publishing,2
179,2017,Action,2127
180,2017,Adventure,1835
181,2017,Animation & Modeling,12
182,2017,Audio Production,8
183,2017,Casual,1904
184,2017,Design & Illustration,22
185,2017,Early Access,428
186,2017,Education,10
187,2017,Free to Play,352
188,2017,Game Development,2
189,2017,Gore,3
190,2017,Indie,3488
191,2017,Massively Multiplayer,137
192,2017,Movie,1
193,2017,Nudity,1
194,2017,Photo Editing,1
195,2017,RPG,704
196,2017,Racing,169
197,2017,Sexual Content,1
198,2017,Simulation,902
199,2017,Software Training,3
200,2017,Sports,248
201,2017,Strategy,883
202,2017,Utilities,22
203,2017,Video Production,8
204,2017,Violent,5
205,2017,Web Publishing,5
206,2018,Accounting,1
207,2018,Action,2517
208,2018,Adventure,2161
209,2018,Animation & Modeling,20
210,2018,Audio Production,10
211,2018,Casual,2656
212,2018,Design & Illustration,16
213,2018,Early Access,576
214,2018,Education,17
215,2018,Free to Play,492
216,2018,Game Development,8
217,2018,Indie,4579
218,2018,Massively Multiplayer,175
219,2018,Photo Editing,2
220,2018,RPG,955
221,2018,Racing,225
222,2018,Simulation,1206
223,2018,Software Training,9
224,2018,Sports,302
225,2018,Strategy,1097
226,2018,Utilities,40
227,2018,Video Production,11
228,2018,Violent,1
229,2018,Web Publishing,3
230,2019,Action,2596
231,2019,Adventure,2436
232,2019,Animation & Modeling,14
233,2019,Audio Production,8
234,2019,Casual,2495
235,2019,Design & Illustration,17
236,2019,Early Access,724
237,2019,Education,6
238,2019,Free to Play,525
239,2019,Game Development,9
240,2019,Indie,4650
241,2019,Massively Multiplayer,183
242,2019,Photo Editing,2
243,2019,RPG,1122
244,2019,Racing,229
245,2019,Simulation,1200
246,2019,Software Training,2
247,2019,Sports,300
248,2019,Strategy,1173
249,2019,Utilities,38
250,2019,Video Production,5
251,2019,Web Publishing,3
254,2020,Action,3446
255,2020,Adventure,3174
256,2020,Animation & Modeling,11
257,2020,Audio Production,7
258,2020,Casual,3388
259,2020,Design & Illustration,18
260,2020,Early Access,1024
261,2020,Education,9
262,2020,Free to Play,767
263,2020,Game Development,4
264,2020,Indie,6055
265,2020,Massively Multiplayer,214
266,2020,Photo Editing,2
267,2020,RPG,1389
268,2020,Racing,287
269,2020,Simulation,1681
270,2020,Software Training,5
271,2020,Sports,403
272,2020,Strategy,1591
273,2020,Utilities,18
274,2020,Video Production,4
275,2020,Web Publishing,4
276,2021,Accounting,1
277,2021,Action,3150
278,2021,Adventure,3106
279,2021,Animation & Modeling,7
280,2021,Audio Production,5
281,2021,Casual,3226
282,2021,Design & Illustration,6
283,2021,Early Access,1153
284,2021,Education,6
285,2021,Free to Play,291
286,2021,Game Development,3
287,2021,Indie,5481
288,2021,Massively Multiplayer,184
289,2021,Photo Editing,3
290,2021,RPG,1407
291,2021,Racing,318
292,2021,Simulation,1541
293,2021,Software Training,3
294,2021,Sports,344
295,2021,Strategy,1509
296,2021,Utilities,17
297,2021,Video Production,9
298,2021,Web Publishing,2
